Date,Store ID,Product ID,Category,Region,Price,Discount,Cost,Competitor Pricing,Weather Condition,Seasonality,Holiday/Promotion,Month,Year,DayOfWeek,Units Sold,Units Ordered,Inventory Level,Revenue,Profit
2022-01-01,S002,P036,Clothing,West,22.55,13.6,15.87,22.89,Sunny,Normal,1,1,2022,5,108,113,268,2104.19,390.23
2022-01-01,S004,P036,Clothing,South,23.04,7.0,15.87,22.31,Cloudy,Off-Season,0,1,2022,5,51,51,67,1092.79,283.42
2022-01-01,S012,P012,Electronics,West,67.47,16.6,44.48,70.02,Snowy,Normal,1,1,2022,5,80,69,140,4501.6,943.2
2022-01-01,S019,P025,Furniture,West,20.47,4.5,12.36,18.82,Cloudy,Normal,0,1,2022,5,27,23,66,527.82,194.1
2022-01-01,S001,P015,Furniture,North,76.99,0.9,57.62,69.42,Rainy,Normal,0,1,2022,5,48,55,89,3662.26,896.5
2022-01-01,S017,P036,Clothing,East,25.99,0.4,15.87,26.55,Snowy,Normal,0,1,2022,5,65,57,93,1682.59,651.04
2022-01-01,S014,P019,Groceries,West,18.61,9.2,10.38,17.5,Rainy,Normal,1,1,2022,5,139,125,218,2348.81,905.99
2022-01-01,S002,P015,Furniture,West,84.0,16.9,57.62,79.92,Sunny,Festival,1,1,2022,5,177,215,324,12355.31,2156.57
2022-01-01,S009,P008,Clothing,North,72.37,21.9,42.41,77.49,Cloudy,Normal,1,1,2022,5,123,138,277,6952.08,1735.65
2022-01-01,S012,P003,Clothing,West,101.0,1.4,62.41,92.16,Rainy,Festival,0,1,2022,5,112,117,212,11153.63,4163.71
2022-01-01,S013,P027,Electronics,East,45.45,5.8,32.16,43.8,Cloudy,Festival,1,1,2022,5,168,168,279,7192.74,1789.86
2022-01-01,S005,P040,Electronics,South,71.67,15.6,45.13,67.9,Rainy,Normal,1,1,2022,5,139,157,285,8408.04,2134.97
2022-01-01,S019,P040,Electronics,West,66.41,4.0,45.13,60.87,Rainy,Off-Season,0,1,2022,5,74,87,136,4717.77,1378.15
2022-01-01,S020,P038,Furniture,South,67.54,7.5,36.76,63.68,Cloudy,Normal,0,1,2022,5,93,112,172,5810.13,2391.45
2022-01-01,S003,P002,Furniture,East,14.98,7.5,10.87,15.06,Snowy,Off-Season,0,1,2022,5,66,76,155,914.53,197.11
2022-01-02,S020,P017,Clothing,South,70.57,7.4,47.17,68.44,Sunny,Normal,0,1,2022,6,73,84,189,4770.39,1326.98
2022-01-02,S016,P037,Clothing,West,85.16,18.1,55.96,92.6,Snowy,Normal,1,1,2022,6,132,117,323,9206.48,1819.76
2022-01-02,S009,P005,Groceries,North,95.45,23.6,54.34,104.5,Cloudy,Normal,1,1,2022,6,126,150,213,9188.4,2341.56
2022-01-02,S011,P036,Clothing,East,23.18,6.6,15.87,23.11,Snowy,Festival,0,1,2022,6,135,145,214,2922.77,780.32
2022-01-02,S016,P024,Toys,West,39.93,7.8,26.34,41.54,Cloudy,Off-Season,1,1,2022,6,42,50,103,1546.25,439.97
2022-01-02,S015,P016,Groceries,East,75.19,4.0,50.71,80.9,Cloudy,Festival,0,1,2022,6,86,75,140,6207.69,1846.63
2022-01-02,S019,P009,Electronics,West,28.6,7.0,17.02,27.17,Rainy,Normal,0,1,2022,6,84,88,113,2234.23,804.55
2022-01-02,S009,P007,Toys,North,62.48,3.0,39.33,68.15,Cloudy,Off-Season,0,1,2022,6,99,86,227,5999.95,2106.28
2022-01-02,S001,P022,Groceries,North,56.21,2.1,34.19,57.32,Rainy,Normal,0,1,2022,6,112,130,183,6163.31,2334.03
2022-01-02,S001,P022,Groceries,North,59.44,29.6,34.19,53.94,Sunny,Festival,1,1,2022,6,210,209,450,8787.61,1607.71
2022-01-02,S017,P007,Toys,East,66.06,6.7,39.33,59.68,Sunny,Normal,0,1,2022,6,95,98,179,5855.23,2118.88
2022-01-02,S017,P029,Furniture,East,76.31,9.7,46.77,75.45,Snowy,Normal,1,1,2022,6,93,81,146,6408.44,2058.83
2022-01-03,S014,P006,Clothing,West,102.63,4.3,65.56,93.68,Rainy,Normal,0,1,2022,0,29,33,51,2848.29,947.05
2022-01-03,S004,P039,Furniture,South,29.6,24.2,18.22,32.27,Cloudy,Festival,1,1,2022,0,163,187,333,3657.2,687.34
2022-01-03,S018,P018,Clothing,North,44.24,27.6,28.35,46.63,Snowy,Normal,1,1,2022,0,73,69,171,2338.17,268.62
2022-01-03,S001,P021,Toys,North,36.97,14.1,24.06,39.82,Rainy,Normal,1,1,2022,0,99,123,207,3143.97,762.03
2022-01-03,S008,P025,Furniture,East,20.79,3.4,12.36,19.03,Rainy,Normal,0,1,2022,0,19,21,29,381.58,146.74
2022-01-03,S016,P012,Electronics,West,61.54,22.3,44.48,61.17,Snowy,Normal,1,1,2022,0,54,47,130,2582.1,180.18
2022-01-03,S010,P002,Furniture,North,15.61,16.4,10.87,16.81,Sunny,Normal,1,1,2022,0,117,146,162,1526.85,255.06
2022-01-03,S005,P032,Toys,South,54.01,6.2,39.21,59.08,Sunny,Off-Season,0,1,2022,0,94,82,228,4762.17,1076.43
2022-01-03,S019,P015,Furniture,West,83.56,29.7,57.62,80.03,Snowy,Festival,1,1,2022,0,91,96,207,5345.58,102.16
2022-01-03,S011,P018,Clothing,East,43.59,1.3,28.35,47.25,Rainy,Normal,0,1,2022,0,86,75,214,3700.01,1261.91
2022-01-03,S001,P024,Toys,North,38.58,6.9,26.34,39.2,Rainy,Normal,0,1,2022,0,63,74,107,2262.83,603.41
2022-01-03,S015,P016,Groceries,East,78.19,0.5,50.71,71.43,Sunny,Normal,0,1,2022,0,35,42,88,2722.97,948.12
2022-01-03,S016,P030,Toys,West,98.94,2.8,65.73,104.03,Sunny,Normal,0,1,2022,0,73,65,189,7020.39,2222.1
2022-01-03,S009,P006,Clothing,North,104.44,7.6,65.56,102.06,Sunny,Normal,0,1,2022,0,25,24,58,2412.56,773.56
2022-01-03,S009,P001,Toys,North,36.07,23.3,20.89,36.5,Snowy,Normal,1,1,2022,0,82,97,173,2268.59,555.61
2022-01-03,S020,P015,Furniture,South,75.49,3.9,57.62,81.88,Snowy,Festival,0,1,2022,0,84,74,206,6093.85,1253.77
2022-01-03,S005,P024,Toys,South,40.83,1.0,26.34,38.35,Cloudy,Off-Season,0,1,2022,0,41,38,61,1657.29,577.35
2022-01-04,S016,P037,Clothing,West,89.66,2.4,55.96,84.94,Rainy,Normal,0,1,2022,1,70,61,135,6125.57,2208.37
2022-01-04,S004,P025,Furniture,South,20.72,3.2,12.36,19.04,Cloudy,Off-Season,0,1,2022,1,24,23,41,481.37,184.73
2022-01-04,S019,P002,Furniture,West,15.11,4.4,10.87,15.06,Rainy,Off-Season,0,1,2022,1,40,43,90,577.81,143.01
